[09.12.13, 06:16:16] Holzmano: Noii whatsapp nummere
[22.08.17, 08:01:51] Holzmano: Gatt io! Wenn muschsi haa?!
[22.08.17, 09:44:08] Holzmano: Bin etz im KGH und han dCharte gfunde...
[22.08.17, 11:05:45] Vera: chume d charte i 40 min go hole
[22.08.17, 11:05:47] Vera: ok?
[22.08.17, 11:06:04] Holzmano: ok cool...dasch guet...denn chumich ned hei...isch de papa dihei?
[22.08.17, 11:06:22] Vera: nei ischer nöd
[22.08.17, 11:06:23] Vera: ah schaad
[22.08.17, 11:06:28] Vera: mann
[22.08.17, 11:07:20] Holzmano: ja han vergässe dasi eh mitem raffi abgmacht han 😬 ... bisch morn ume?
[22.08.17, 11:28:29] Vera: ja bini au
[22.08.17, 11:30:37] Holzmano: ok will morn chumi def!
[23.08.17, 11:26:51] Vera: fürs progrämmli
[23.08.17, 11:27:56] Vera: chunsch hüt go esse?
[23.08.17, 11:45:03] Holzmano: Hanichdir doch gschickt?!
[23.08.17, 11:45:19] Holzmano: Chume so uf di 4i isch das guet?!
[23.08.17, 22:09:56] Vera: also s ganze fangt am fritig am 7ni ah (: s git spaggetti & öpis z drinke & z gügele 😁 fallser no besser versorgt si wennd nemed doch eifach mit waser wend. 
freu mich uf eu! (: 
d adresse isch
helmweg 46
8405 Winterthur
[23.08.17, 23:36:34] Holzmano: 👍🏼 freut mi
[23.08.17, 23:36:41] Holzmano: *freu 😂😂😂😂
[24.08.17, 00:06:57] Vera: hahah 😊😊😘
‎[24.08.17, 21:37:28] Vera: ‎Bild weggelassen
‎[24.08.17, 21:37:28] Vera: ‎Bild weggelassen
[24.08.17, 21:37:39] Vera: guet???
[24.08.17, 21:37:45] Vera: fehlt no öpis?
[24.08.17, 23:45:55] Holzmano: Perf ich luege morn morge! Danke vill mal'
[25.08.17, 00:54:01] Holzmano: Hey isch super geil! Danke, es hett no en chliine Fehler drin: De 29. sett no Chliigruppe sii...
[25.08.17, 06:50:22] Holzmano: Ah ja ich han jad Indesign files...
[25.08.17, 08:22:24] Vera: gahts mit de schrift
[25.08.17, 09:23:45] Holzmano: alles wunderbar klappet! Danke!
‎[25.08.17, 14:54:02] Vera: ‎Audio weggelassen
‎[25.08.17, 15:03:46] Holzmano: ‎Audio weggelassen
‎[25.08.17, 15:04:45] Vera: ‎Audio weggelassen
‎[25.08.17, 17:54:19] Holzmano: ‎Audio weggelassen
[31.08.17, 11:05:02] Vera: hi was mached ihr hüt abig?
[31.08.17, 11:44:15] Holzmano: Han sitzig toscana am abig...nacher mitem vondo abgmacht...felix hett glaub forum...
[31.08.17, 15:13:55] Holzmano: Fascht no vergesse willmer am fritig scho gfeschtet hend - Happy Birthday!
[31.08.17, 15:32:10] Vera: dankee 😘
[11.09.17, 16:31:07] Holzmano: Hey welang bisch du bi grosspapa und grossmama?!
[11.09.17, 16:50:52] Vera: jetzt gahni denn gli mal
[14.09.17, 19:14:19] Holzmano: cieeeee...dwött wie gaats? hey nur churz no e frag: hesch du kapazität zum es titelblatt fürs toscana liederheft zmache? Eb ja oder nei ha di mega gern - bis bald!
[14.09.17, 19:17:24] Vera: ja 👍🏼
[14.09.17, 19:17:47] Holzmano: ehrlich? das wer mega hammer!
[14.09.17, 19:18:29] Holzmano: chenntsch natürli au gad sganze heftli gstalte wennd wettsch :) dInhält würdich dir lifere aber au scho es geils deckblatt tuets!
[14.09.17, 19:19:03] Vera: nur deckblatt 👍🏼
[14.09.17, 19:19:09] Vera: und rücksite evt
[14.09.17, 19:19:16] Vera: wi gross?
[14.09.17, 19:32:20] Holzmano: A5
[14.09.17, 19:37:56] Vera: oki
[14.09.17, 19:39:06] Holzmano: Chönntsch das mache? Bisch völlig frei...
[14.09.17, 21:01:22] Vera: 👍🏼
‎[17.09.17, 20:23:33] Vera: ‎Bild weggelassen
‎[17.09.17, 20:23:34] Vera: ‎Bild weggelassen
[17.09.17, 20:23:38] Vera: vordersiite hintersiite
[17.09.17, 21:45:25] Holzmano: Whuaa wie geil! Super melde mi die wuche nomal...bin ebe ned im KGH sondern in friburg anere wiiterbildig
[30.09.17, 01:30:24] Holzmano: Sorry bin am Tanze gsi...umwas isch gange?!
[30.09.17, 08:57:04] Vera: no problem
[30.09.17, 08:57:09] Vera: gahn is asvz
[30.09.17, 08:57:22] Vera: han denkt vlt hetsch luscht zum mitcho
[30.09.17, 10:09:57] Holzmano: Aaa ja nei bin eich chrank 😁
[30.09.17, 10:10:02] Holzmano: Danke trotzdem
[30.09.17, 13:08:38] Vera: oh nei 🙆🏼
[30.09.17, 13:08:42] Vera: gueti besserig !!!
[30.09.17, 13:26:07] Holzmano: Danke...isch sicher bald wider guet
[02.10.17, 09:16:32] Holzmano: Lug mal:
http://www.20min.ch/community/dossier/geldratgeber/story/Chef-stellt-Lohnausweis-nicht-aus---was-tun--15891855
[02.10.17, 09:55:00] Vera: krass danke
[04.10.17, 12:33:49] Vera: sones herzligs profilbild 😘
[04.10.17, 12:58:15] Holzmano: 👍🏼 gell
[14.10.17, 21:14:18] Vera: hei länz ❤freu mi megauf dich
[14.10.17, 21:14:42] Vera: leider simmer hüt abig nöd ume sondern im salzi
[14.10.17, 21:15:11] Holzmano: Daaanke!!! Freue mi au! Easy...
[14.10.17, 21:15:28] Vera: dihei isch leider au nöd alles so schön uufgrumt 🙈
[14.10.17, 21:15:37] Vera: aber mer gsehnd eus morn 😘😘😘
[14.10.17, 21:21:06] Holzmano: 👍🏼
[16.10.17, 11:36:45] Holzmano: Wenn sind mama und papa retour?!
[16.10.17, 14:02:32] Vera: nami
[16.10.17, 14:04:15] Holzmano: 👍
[21.10.17, 21:21:51] Vera: hi lenz dörfemer echli vodem vodka sürfle?
[21.10.17, 21:22:38] Holzmano: Logo
[21.10.17, 21:23:19] Vera: danke :
‎[21.10.17, 21:26:21] Holzmano: ‎Bild weggelassen
‎[21.10.17, 21:28:15] Vera: ‎Bild weggelassen
[21.10.17, 21:28:29] Vera: rädi für de uusgang
[21.10.17, 21:28:47] Vera: wienen waggis
[21.10.17, 21:28:56] Vera: mini haare
[21.10.17, 21:29:27] Vera: hei wenn chömed ihrmornhei?
[21.10.17, 21:30:20] Holzmano: Chlini Rihanna...abig warsch
[22.10.17, 11:26:44] Vera: wo hender bettwösh?
[22.10.17, 11:58:55] Holzmano: Komode zundersch!!!
[28.10.17, 16:21:15] Vera: hi lenz
[28.10.17, 16:21:22] Vera: si chömed
[28.10.17, 16:21:33] Holzmano: Ok danke!
‎[29.10.17, 23:56:58] Holzmano: ‎Audio weggelassen
[30.10.17, 06:10:36] Vera: danke ❤❤
[31.10.17, 18:54:23] Vera: hi lenz
[31.10.17, 18:54:34] Vera: chanich das züg jetzt no go hole
[31.10.17, 19:01:14] Holzmano: Dwött es schafft doch niemer meh am 7ni?!
[31.10.17, 19:04:42] Vera: schissi
[31.10.17, 19:04:52] Vera: wenn bisch morn ume
[31.10.17, 19:18:01] Holzmano: An Nami/Spate Mittag...
[31.10.17, 21:11:03] Vera: ok chume denn
[31.10.17, 22:12:40] Holzmano: 👍🏻
‎[01.11.17, 09:12:07] Holzmano: ‎Bild weggelassen
[02.11.17, 23:19:39] Holzmano: Hey los mues morn früeh los!
Ich tue der efach de Leu+Schlüssel is Milchchäschtli und du chaschen denn in Briefschlitz schmeiss nacher!
Es hett au noso e Rolle mit Karton! Liit beides ufem/nebem rote Tischli bim iigang!
Ly
[27.11.17, 16:40:28] Vera: hooooooi
[27.11.17, 16:40:34] Vera: 😋😋😋😋$
[27.11.17, 16:44:57] Holzmano: gugus!!! wo bisch?
[27.11.17, 17:22:55] Vera: in deoo schulööö🕺🏾🕺🏾
[27.11.17, 17:22:59] Vera: du?
[27.11.17, 17:23:05] Holzmano: Heifahre...
[27.11.17, 17:23:17] Vera: heieiei
[05.12.17, 20:24:50] Vera: lenz schnell e frag bevor ichs wider vergiss
[05.12.17, 20:25:11] Holzmano: Was?!
[05.12.17, 20:25:13] Vera: hesch du eich das worship büechli cover fürd kg ferie nöd brucht, gell?
[05.12.17, 20:26:05] Holzmano: Das hett sich anders ergeh det - ich würs gern fürs Winterlager neh!
[05.12.17, 20:26:18] Vera: ah ja
[05.12.17, 20:26:20] Vera: oke
[05.12.17, 20:26:34] Vera: ich han mer ja det eine abgstresst für dich, weisch no?
[05.12.17, 20:27:34] Holzmano: Ja ich mir au...aber denn hett de päde scho es anders cover gmacht und det hetts ebe in latex müse sii und ich han ned gwüsst wie das gaat und zums usefinde hani kei ziit gha...
[05.12.17, 20:27:59] Vera: ...
[05.12.17, 20:30:08] Holzmano: Sorry...aber ich han mer det ebe denkt dasichs gern würd bruche für eppis anders - wills mer wükli gfallt...!
[05.12.17, 20:41:54] Vera: okay aber hetschmers ja grad schnell chöne sege... ez hanis über sibe egge müse verneh
[05.12.17, 20:57:53] Holzmano: Ja hetti villich chöne - srry! Bruches wie gseit fürs Lager
[07.12.17, 05:49:32] Vera: wie ischs gspröch geschter mit de paula gange? :)
[07.12.17, 08:42:19] Holzmano: Isch guet gsi...danke! Mir probiereds etz mal hanichmich entschide 😬...
[07.12.17, 09:35:02] Vera: coool (: han ghört si chunt am sunntig au
[07.12.17, 09:35:14] Vera: 🎅
[07.12.17, 09:48:09] Holzmano: Voll
[07.12.17, 11:35:31] Vera: coooool 🎈🎈
[12.12.17, 16:08:01] Vera: lenz wie gahts de fründin?
[12.12.17, 16:20:43] Holzmano: Guet glaub 😜...
[12.12.17, 16:21:10] Vera: hhahah
[12.12.17, 16:21:22] Vera: super (:
[12.12.17, 16:21:25] Vera: und im glaube?
[12.12.17, 16:24:36] Holzmano: Hahahahaha
[07.01.18, 17:12:16] Vera: baumvera
[07.01.18, 17:12:27] Holzmano: 😘
‎[10.01.18, 00:34:52] Holzmano: ‎Bild weggelassen
[10.01.18, 05:18:04] Vera: das isch mega toll ❤
[10.01.18, 05:18:23] Vera: danke villmal dass du die so würdigsch (:
[10.01.18, 05:18:28] Vera: lyt 😘
[14.01.18, 18:05:22] Vera: bin no adem match (:
[30.01.18, 12:25:08] Vera: ‎Verpasster Sprachanruf
[05.02.18, 13:44:05] Vera: https://www.facebook.com/OfficialSeeMore/videos/vb.199077356806843/2693263820721505/?type=2&theater&comment_id=1543382309114376&notif_t=comment_mention&notif_id=1515497446975146
[09.02.18, 12:57:18] Holzmano: Chunnsch du hüt au cho esse, fröged dMamma...
[09.02.18, 12:59:20] Vera: wenn?
[09.02.18, 12:59:32] Holzmano: 30'
[09.02.18, 12:59:45] Vera: ich bin ca. bism 4i / 5i weg... hans am mami gseit
[09.02.18, 12:59:48] Vera: *papi
[09.02.18, 12:59:52] Vera: 😊😊
[09.02.18, 13:00:07] Holzmano: ok demfall nöd...bis denn
[10.02.18, 10:45:22] Holzmano: Chasch schnell no luege ebmer fürwerk im cheller hend 😬😬?!
‎[23.02.18, 22:18:10] Vera: ‎Kontaktkarte ausgelassen
[23.02.18, 22:18:24] Vera: ‎Verpasster Sprachanruf
[23.02.18, 22:51:27] Holzmano: Chaschmer ja schnell schribe wenner epis gfunde hend!
[23.02.18, 22:54:05] Vera: creperie
[23.02.18, 22:54:13] Vera: chum schnell
[23.02.18, 22:54:20] Vera: mer hend en platz für dich
[23.02.18, 22:54:25] Holzmano: 😳dasch so klar gsi😂
[23.02.18, 22:54:43] Holzmano: Chume denn scho no...!
[24.02.18, 15:03:58] Holzmano: Sali zeme zur bessere Verbreitig vo wichtige Nachrichte - chömed ab und zue au Sache im guete alte Whatsapp...
[24.02.18, 15:04:42] Holzmano: Sali zeme

Am *5. März* lademer oi alli uf di *19:00* ii ad *Bürglistrass 12* zumene Znacht und Workshop zum Thema “Wert und Identität” vo FiT. 
Melded oi doch schnell aa und ab!

Janina, Flurina, Sissel und Lenz
[24.02.18, 16:04:26] Vera: ichchume (:
[24.02.18, 16:06:21] Holzmano: Cool!!!
[24.02.18, 16:09:26] Vera: chunsch morn au in escape room oder? (:
[24.02.18, 16:10:57] Holzmano: Nei
[24.02.18, 16:21:38] Vera: hesch di abgmeldet?
[24.02.18, 16:23:27] Holzmano: Nonie aagmeldet...!
[24.02.18, 16:23:43] Vera: okei
[24.02.18, 16:24:24] Vera: si rechnet eifach mit allne
[24.02.18, 16:24:30] Vera: am beschte schriibsch ihre mal
[24.02.18, 16:24:51] Holzmano: Vera ich han mich nonie ide doodle iitreit!
[24.02.18, 16:25:07] Vera: spillt kei rolle
[24.02.18, 16:25:30] Vera: duen echli netter schriibe
[24.02.18, 16:25:38] Vera: die uusruefezeiche chani nüme gse
[24.02.18, 16:25:51] Holzmano: !
[24.02.18, 16:26:00] Holzmano: 😘
[24.02.18, 16:26:10] Vera: 😘
[24.02.18, 16:26:28] Holzmano: Ich schrib immer usruefezeiche...
[24.02.18, 16:26:41] Vera: chamer sich ja abgwöhne
[24.02.18, 16:28:04] Holzmano: Oders zur Kenntnis neh und ignoriere...
[24.02.18, 16:28:40] Vera: oder abgwöhne 😉
[24.02.18, 16:29:46] Holzmano: Oder zur Kenntnisneh 😘
[25.02.18, 00:17:22] Vera: http://www.mainlandmusic.com/show.php?event=2513
[25.02.18, 00:17:29] Vera: ihr hend doch wele de madchild go luege
[25.02.18, 00:17:33] Vera: er chhunt nomal
[25.02.18, 00:51:06] Holzmano: Haha stimmt ! Wükli...?! Krass!!
[02.03.18, 09:27:35] Vera: hei lenz wie chanich eigentlich es back up mache mitm compi
[02.03.18, 09:27:54] Vera: demit alles mal gspeicheret isch
[05.03.18, 16:46:08] Vera: ‎Verpasster Sprachanruf
[05.03.18, 16:52:22] Holzmano: Wegem backup...srry vergesse zschriibe!
[07.03.18, 11:04:51] Holzmano: Es hett e chliini Änderig geh bzgl de negschte FiT-Treffe. Folgendes sindd Date für di negschte paarmal:
[07.03.18, 11:05:02] Holzmano: 03.04.18
17.04.18
29.05.18
26.06.18
[08.03.18, 11:05:21] Holzmano: Chline Tipp: Checked Slack!
‎[19.03.18, 23:37:22] Holzmano: ‎Bild weggelassen
[20.03.18, 06:13:58] Vera: ❤
[24.03.18, 11:08:49] Holzmano: *Achtung - Nöd vergässe:*
Nächscht Wuche (27.3) isch *kei FiT* ! Stattdesse isches e Wuche spöter am 3.4. Am 3.4 isch denn au de Raoul (Architekt) debi!!!
Bis bald
[02.04.18, 23:15:13] Holzmano: Sali mitenand

Nach dem Oschterwuchenend findet bereits oises nöchschte FiT-Treffe statt. Debi sii wird de Raoul Sigl oise Architekt.

Ort isch wie immer *Pfarrgasse 1*, *Beginn 18:30*.

Tünd oi bitte *A und Abmelde*!

Freued ois riisig - bis gli!!!
[03.04.18, 14:31:15] Vera: hei lenz :)
[03.04.18, 14:31:25] Vera: a) du hesch ja denn no de pizza guetschi bi mir
[03.04.18, 14:31:45] Vera: b) chan ich dich mal darum bitte dass du bi mir es update machsch ufm compi
[03.04.18, 15:48:11] Holzmano: Halo Dwött!!
a) was würkli??? b) ja eh!
[03.04.18, 16:17:11] Vera: a ) ja dis gebigschänk
[03.04.18, 16:17:13] Vera: b) danke
[03.04.18, 16:21:23] Holzmano: ahhh :) !! ehrlich...?!
[03.04.18, 16:30:18] Vera: ja ehrlich :)
[03.04.18, 16:30:21] Vera: scho vergesse?
[03.04.18, 16:38:30] Holzmano: Voll vergässe ja
[07.04.18, 17:36:42] Holzmano: Schnell no zwei Updates:

1. Es isch *kei FiT am 17.4* (isch ja scho fascht wieder und so vill neus hemmer denn doch ned zbrichte)
2. Han uf Slack en (hoffentlich motivierende) Biitrag mit Infos und Date zum *Vorprojekt* ufeglade!!

Gnüssed dSunne
[14.04.18, 09:10:36] Vera: ‎Verpasster Sprachanruf
[14.04.18, 09:51:11] Vera: mor sind im sektor b :)
[16.04.18, 17:29:03] Holzmano: Nomal zur Erinnerig zwei Infos:
1. Es isch morn(17.4) *kei* FiT!
2. Denked draa lüüt iizlade fürs Kickoff-Coworking am 8. Mai!!
Bis bald
[16.04.18, 23:40:33] Holzmano: Hallo zusammen

Wie ihr vielleicht gehört habt, haben sich Raphi und Kathi gemeinsam für die freiwerdende Stelle von Simon Obrist beworben.
Beide liegen mir und euch sehr am Herzen und ich denke, es ist an der Zeit ihnen etwas unter die Arme zu greifen. Mein Ziel ist es 
auf die Kirchenpflegesitzung diesen Mittwoch hin, möglichst viele „Unterschriften“ zu sammeln und damit unserem Wunsch Ausdruck zu verleihen, sie gerne in dieser Stelle zu sehen.
Da die Zeit etwas drängt, habe ich ein Google-Formular erstellt, in welches ihr ganz einfach eure Personalien eintragen könnt. Das ganze wird dann in eine Tabelle übertragen und zusammen mit dem angehängten Brief (siehe unten) in zwei Tagen der Kirchenpflege vorgelegt.

Vielleicht zum Abschluss noch eine kurze Erläuterung:
Ja, es ist keine „richtige“ Unterschrift und Nein, bloss weil wir uns irgendwo eintragen heisst das nicht, dass alles so kommt wie wir uns das vorstellen. Trotzdem finde ich, dass wir unsere Anliegen vorbringen müssen - gerade auch vor der Kirchenpflege -  und uns gegenseitig da unterstützen, wo es nötig ist.   Schlussendlich kostet es euch nicht viel, aber der Effekt wird umso grösser, je mehr von euch sich einbringen

*Wichtig*: Falls ihr noch Personen kennt, die ich vergessen haben könnte, meldet das *mir* und schickt diese Nachricht nicht sinnlos in der Gegend umher. 

*Ausserdem*, weder Kathi noch Raphi, wissen hiervon. Und irgendwie ist das auch ganz gut so.

Gruss und noch weiterhin eine schöne Woche
Lenz

Hier der Link zum Formular:
https://goo.gl/forms/ABvq6cdNGfGMAfdk2

  Hier mein Brief an die Kirchenpflege:
‎[16.04.18, 23:40:40] Holzmano: Kandidatur Kathi und Raphael Baumann.pdf • ‎1 Seite ‎Dokument weggelassen
[20.04.18, 07:50:37] Vera: du meldisch dich eifach wegde pizzeria gell 😊😘😘
[20.04.18, 08:12:19] Holzmano: Ja klaar! Danke!
[24.04.18, 14:28:50] Vera: het die vo biel dir jetzt scho gschribe?
[24.04.18, 15:06:42] Holzmano: Was lauft mit oi?! 😂😂 nei...si hett noni gschribe!
[24.04.18, 15:07:01] Vera: ja ich wets aber denn wüsse...
[24.04.18, 15:07:13] Holzmano: haha okok...
[03.05.18, 13:36:51] Vera: wie isch dis date gsi?
[03.05.18, 13:36:54] Vera: wie heisst si?
[07.05.18, 14:19:22] Holzmano: Morn isches sowiit: 
*sKickoff vom Coworking-Vorprojekt* staat aa und mir freued ois mega druff mit oi en Abig lang zemezsitze und zbrainstorme!!

Mir hend denkt mir mached sTreffe grad am Ort des Geschehens - *direkt ade Tösstalstrass 2* und zwar uf di *18:30*...für eppis zknabere und ztrinke isch wie immer gsorget!

WICHTIG:
Wer Lüüt iiglade hett, isch selber verantwortlich defür, dene Lüüt Ort und dZiit wiiterzgeh (ich han ned alli nummere)

Bis bald
[07.05.18, 14:20:00] Holzmano: Ah ja: Gebed doch schnell Bscheid, eber debi sind oder ned!!
[15.05.18, 15:53:37] Vera: https://www.manor.ch/de/shop/multimedia/computer-software/tablets/apple/p/P2-27035008
[15.05.18, 15:53:41] Vera: isch das guet?
[15.05.18, 15:53:46] Vera: oder gits es bessers?
[15.05.18, 15:53:53] Vera: chasch mal luege? :)
[15.05.18, 15:56:20] Holzmano: Bisch gad det?
[15.05.18, 15:56:38] Vera: nops :)
[15.05.18, 15:57:04] Holzmano: Lueges aa sobaldi cha
[15.05.18, 15:57:14] Vera: sehr nett danke :)
[15.05.18, 16:55:51] Holzmano: Also:

Sgliiche vo apple choschtet: CHF 896.50, isch also tüürer!
Aber es isch halt numes 10.5 Zoll
Bi Manor gits au nos 12.9 Zoll (https://www.manor.ch/de/shop/multimedia/computer-software/tablets/apple/p/P2-27037004) choschtet halt 100.- meh

Aber denn anderersiits:

https://www.macworld.co.uk/news/ipad/ipad-pro-2018-3492180/
[15.05.18, 16:58:41] Vera: ja aber e Face ID bruchi ja nöd 🙈
[15.05.18, 17:00:18] Holzmano: was redsch du?
[15.05.18, 17:01:48] Vera: das het ja denn das wo im summer usechunt lenz
[15.05.18, 17:07:09] Holzmano: aber das isch ned relevant ebs e faceid hett oder nöd...scho gar ned wennd wotsch guet chöne schaffe demit
[15.05.18, 17:07:55] Vera: ebe das isches ja 🙈
[15.05.18, 17:08:01] Vera: drumm musi ja nöd extra warte
[15.05.18, 17:08:29] Holzmano: mann...es hett aber so zimlich alles besser als das wo etz dusse isch! dfaceid chasch vernachlässige!
[15.05.18, 17:08:43] Holzmano: musch sicher ned es ipad chaufe wo i 2 mönet scho wider veraltet isch!
[15.05.18, 17:09:30] Vera: okay .) kei grund so usser rand und band z cho 😁
[15.05.18, 17:09:58] Holzmano: isch gar niemer usser rand und band...ich bin parallel no inere üebigsstund... 😬
[15.05.18, 17:10:38] Vera: okei 😊
[15.05.18, 17:10:48] Vera: danke fürd infos 😘
[15.05.18, 17:11:13] Holzmano: kes Ding...also ich würd entweder warte oder 100.- meh zale und immerhin s12.9 Zoll neh!
[15.05.18, 17:11:43] Vera: ja aber nacher musi sicher no meh zahle fürs neuschte vom neuschte 😁🙉
[15.05.18, 17:11:59] Holzmano: choschtet ebe meischtens genau gliichvill!
[15.05.18, 17:12:25] Vera: 😊🙏🏽 praise the lord!
[16.05.18, 10:42:53] Holzmano: Checked Slack out fürs *Protokoll vode Coworking-Vorprojekt-Sitzig* und neue Infos zude nöchschte *FiT-Sitzig* am *29.5*!!
Bis gli
[28.05.18, 15:01:48] Holzmano: Ned vergesse - morn abig *29.5* isch *FiT-Sitzig mit aschlüssender Coworking-Vorprojekt-Sitzig*! Chömed alli zahlriich - sgit einiges zverzelle und zbespreche!

Ort: *Pfarrgasse 1*, Kirchgemeindehaus Stadtkirche
Zeit: *18:30*

*Bitte melded oi aa oder ab bi mir*

Bis gli
[13.06.18, 22:15:53] Vera: https://www.manor.ch/de/shop/multimedia/computer-software/tablets/apple/p/P2-27037101?bv=true
[13.06.18, 22:15:58] Vera: isch das jetzt s neue?
[18.06.18, 15:33:16] Vera: he lenz isch das guet wenni jetzt 12.9 Zoll  chaufe im manor?
[18.06.18, 15:51:18] Holzmano: Isch das das vom link?
[18.06.18, 15:51:38] Vera: japs
[18.06.18, 15:54:18] Holzmano: Wart churz
[18.06.18, 15:56:09] Holzmano: wenn isch das uf de mert cho?
[18.06.18, 15:56:23] Holzmano: und wieso das mit simcharte? das isch eifach nur unnötig tüür!!
[18.06.18, 15:57:36] Vera: also s git ja no s 10.5
[18.06.18, 15:57:33] Holzmano: https://www.manor.ch/de/shop/multimedia/computer-software/tablets/apple/p/P2-27037001?bv=true

Das isch das wo du wetsch! Eifach wers nice mit 256 GB speicher!!! Aber das hets uf de page iwie nüme + müsstisch ee mit de mama gaa denn hesch 10%
[18.06.18, 15:57:36] Holzmano: im manor...
[18.06.18, 16:05:46] Holzmano: Ich würd eifach neds chliine ne!! Das regt di nacher uuf!
[19.06.18, 14:19:13] Vera: gahn das demfall hüt go chaufe mitm mümms
[19.06.18, 14:31:16] Holzmano: Wenn?
[19.06.18, 14:48:46] Vera: am 4ii
[19.06.18, 14:54:35] Holzmano: 👍🏻
[19.06.18, 15:52:24] Holzmano: Sinder scho det?
[19.06.18, 15:52:38] Vera: fahred am vieri ab
[19.06.18, 15:52:50] Holzmano: Ok...chume au!
[19.06.18, 15:53:11] Vera: in manor?
[19.06.18, 15:53:18] Holzmano: Ju
[19.06.18, 15:53:23] Vera: wo bisch denn ez?
[19.06.18, 15:53:29] Holzmano: Grabe
[19.06.18, 15:53:35] Vera: okidoki
[19.06.18, 15:53:44] Vera: mer schribed der wemmer det sind
[19.06.18, 16:01:05] Holzmano: 👍🏻
[19.06.18, 16:31:08] Vera: sind gad da
[20.06.18, 11:31:31] Vera: dun chli s mami beruhige
[20.06.18, 11:31:43] Vera: s isch chli gnervt
[20.06.18, 11:32:09] Vera: wili mi abgmulde han füs zmitgag.  und chum pünktlich zum esse
‎[20.06.18, 11:32:29] Vera: ‎Bild weggelassen
[20.06.18, 12:03:53] Holzmano: Hans gmerkt 😂 isch guet machi!
[20.06.18, 12:04:09] Holzmano: Sehr nice...
[20.06.18, 17:19:21] Holzmano: Liebe Leute - snechschte FiT-Treffe/GV chunnt uf ois zue!!

Obwohl mer ja guet jedes vo oisne Treffe chönti als GV bezeichne, wirds am *26.6 am 18:30 im Stadtchilegmeindhuus* so richtig GVmässig. Eu erwartet spannendi Traktande und motivierti Lüüt…nei seich 😜! 
Es git aber verschidenes formellers zkläre, de Vorstand wider neu zbsetze und Statuteänderige vorzneh! Natürlich wirds alles andere als langwilig werde und es git au disesmal updates und neue Entwicklige zum Projekt.

Wichtig isch aber: *Chömed alli und melded oi doch vorgängig aa- oder ab* und meldeds ois wenner no wichtigi Traktande hend zum iibringe.

Bis bald
[20.06.18, 17:27:57] Holzmano: Nachricht Nummero zwei: Checked mal wider Slack use...es hett nemli no meh zlese als das!!!!!
[26.06.18, 19:45:52] Vera: Meine Online Umfrage auf Findmind: http://pqvucw.findmind.ch/
[26.06.18, 19:46:55] Vera: he hooi  ich wer mega dankbar wenndu de frageboge für mich chöntsch uusfülle :) bruchen fürd PH ! 😊😊
[26.06.18, 19:52:48] Holzmano: Klaro
[26.06.18, 19:55:54] Vera: dankee
[27.06.18, 12:04:42] Holzmano: Guete morge mittenand

*Wichtigi Mitteilig vom FiT-Projekt*:
Füüüüüüüülllllllled de *DOOOOOOOOODEEEEEEEEEL* uus.

Ganz en schöne Tag no
[30.06.18, 13:48:50] Vera: ‎Verpasster Sprachanruf
[30.06.18, 13:49:05] Vera: was isch?
[04.07.18, 18:33:58] Holzmano: Jungs und Medels: Checked Slack für neui Infos zum Wkend!!!
[06.07.18, 16:14:38] Holzmano: Nomal Infos - es reblet!!!

*Präsentation Café-Bar-Styling am 17.7*
Für alle, die am Ausbau der Café-Bar interessiert sind, ist das ein wichtiger Termin. Das Architekten-Team präsentiert uns den aktuellsten Stand des Umbaus, mit Modell, vor Ort an der Tösstalstrasse 2! Hier können wir unsere Fragen stellen und unsere Stimmen einbringen. 
Wir treffen uns am Dienstag, 17.7 um 15.30 Uhr an der Tösstalstrasse 2. *Bitte bei Simon AN und ABMELDEN*
[09.07.18, 12:01:08] Holzmano: Wichtigi Mitteilig vom Wkend Ok:

Hoi zäme, hüt mues ich bscheid gäh öb mer die Hütte reserviered oder nöd. Gebed doch so schnell wie möglich de Lea oder mir bscheid! Bi Frage eifach fräge. Und wenn du nöd sicher bisch öb du da debi sii willsch, im Zwiifelsfall: MITCHO!
[16.07.18, 21:05:20] Holzmano: *News vom Vorprojekt*

Liebi Lüüt! Ab Endi August chönd mir scho i d'Wohnig vo üsem Coworking_Vorprojekt obe ade Kafi/Bar iizieh! D'Vorbereitige für d'Hecht-Stube chömed drum langsam id Gäng und es gaht as Sammle vode Iirichtig. Wenn ihr es Möbel oder sus irgend en Iirichtigsgägestand hend, woner gern würed zur Verfüegig stelle, fülled alli Details id Exceltabelle vom Spreadsheet (uf slack under #general) ii und lueged eu sPDF mit de Ruumplän und Infos aa und #coworking_vorprojekt.

Alli Frage bitte ad Lea Brunner under ‭079 319 41 57
[23.07.18, 19:40:26] Holzmano: Hey dwött, alles klar?
[23.07.18, 19:40:47] Vera: ja s gaht mer besser danke :)
[27.07.18, 07:59:34] Holzmano: De Felix hett gseit du würsch gern mal tel?!
[27.07.18, 08:01:05] Holzmano: Bisch du eich dehei?
[27.07.18, 08:15:11] Vera: genau 😘
[27.07.18, 08:15:22] Vera: bi gad ufm zuug uf gerra
[27.07.18, 08:15:26] Vera: wenn hetsch ziit?
[27.07.18, 08:16:12] Holzmano: Haha cool!!! Hesch du mal dPoscht checked bi mama und papa?!
[27.07.18, 08:18:20] Holzmano: Morn abig chömer guet!
[27.07.18, 08:47:00] Vera: jaaa 😍😍😍 geschter!!!
