[16.09.13, 07:55:20] ‎Felix hat den Betreff zu “Familie” geändert.
[18.07.16, 21:29:22] Papa: Fahre ca viertlvor ab
[18.07.16, 21:29:40] Holzmano: 👍🏼
[18.07.16, 21:29:52] Felix: Mir chönnted uf cadenazzo
[18.07.16, 21:30:07] Felix: Wäred 22.39 det
[18.07.16, 21:30:13] Felix: Besser?
[18.07.16, 21:30:52] Papa: Klar, gärn!😘
Bisdänn!
[18.07.16, 21:31:22] Felix: Bb😘
[19.07.16, 20:04:12] ‎Vera hat das Gruppenbild geändert.
[23.07.16, 06:47:52] Felix: Sind ufm wääg!!
[23.07.16, 07:06:34] Mama: Oh cool. Hebet sorg. Mir sitzed in locarno im al porto bi kafi u feeeeiiine gipfeli. Dr länz gat o i 40'
[23.07.16, 07:07:40] Felix: Boa ihr tschillez ja nurno zlocarno...😀
[23.07.16, 07:10:34] Mama: 😝
[23.07.16, 07:10:55] Mama: Gö när uf rasa
[23.07.16, 10:22:39] Mama: Minestrone in Rasa
[23.07.16, 10:22:57] Holzmano: Grad vo Brigg abgfahre
‎[23.07.16, 10:22:59] Mama: ‎Bild weggelassen
[23.07.16, 10:23:13] Mama: 👍
[23.07.16, 10:23:30] Holzmano: Annamaria dellos Chörblos
[23.07.16, 12:36:10] Holzmano: Fahre i voruussichtlich 7 min im schönschte sunneschii vo genf ab
[23.07.16, 13:08:42] Mama: Hei und hie hets mega afe schiffe. Mir sitzed irgendwie immer im räge
[23.07.16, 17:05:36] Papa: Aber undrdesse osch wieder troche und tüppig warm. Was machemer mit drei Pfund Magerquark, Phlox? Kkk
[23.07.16, 18:16:20] Felix: Haha paps etz chasch mal chly zuelegge 💪🏽💪🏽
[23.07.16, 18:17:56] Mama: Ales guet felix fäger?
[23.07.16, 18:19:50] Felix: Jawoohl!:)
[23.07.16, 18:20:10] Mama: 😘
‎[23.07.16, 18:20:14] Felix: ‎Bild weggelassen
[23.07.16, 18:20:43] Vera: my name is haiko
[23.07.16, 18:21:03] Felix: And I have a queschtsion
[23.07.16, 18:21:05] Felix: 😘
[23.07.16, 18:21:23] Mama: My name is Heiko
[23.07.16, 18:22:07] Mama: Mach nid so en dicke hals
[23.07.16, 18:26:09] Felix: Iich??
[23.07.16, 18:26:17] Felix: Han doch ken dicke hals 😂😂
[23.07.16, 18:26:51] Mama: 😝💩
[23.07.16, 18:56:22] Papa: Ähm ... Gwafför?
[23.07.16, 18:58:46] Papa: Ah mol
Xes ufde Site!!!
[24.07.16, 17:57:22] Felix: Achooooo
[24.07.16, 17:57:35] Holzmano: Jetzt fang?
[24.07.16, 17:57:55] Felix: Vorere std
‎[24.07.16, 17:57:56] Felix: ‎Bild weggelassen
‎[24.07.16, 17:57:57] Felix: ‎Bild weggelassen
[24.07.16, 17:58:14] Holzmano: Wass? Sinder ned geschter gange?
[24.07.16, 17:58:28] Holzmano: Hesch Wlan?
[24.07.16, 17:58:30] Felix: Moll aber hend ei nacht z slowenie übernachtet
[24.07.16, 17:58:31] Felix: Ju
[24.07.16, 18:26:04] Papa: Mega jööön
Cool händers preixt - enjoy jätzu!
[24.07.16, 18:42:33] Mama: 👍🍷
[27.07.16, 23:28:56] Papa: Flashback...
‎[27.07.16, 23:29:44] Papa: ‎Video weggelassen
[28.07.16, 09:21:28] Felix: Vo wenn isch das?
[28.07.16, 10:32:28] Mama: Vo letscht jahr. Gats guet!
[28.07.16, 10:32:49] Felix: Ja voll😊
‎[28.07.16, 10:33:21] Felix: ‎Bild weggelassen
‎[28.07.16, 10:33:26] Felix: ‎Bild weggelassen
[28.07.16, 10:34:10] Mama: Iiiii isch das kaviar?
[28.07.16, 10:34:24] Felix: Nei sepia riis:)
[28.07.16, 10:34:28] Mama: Dööm
[28.07.16, 10:34:33] Felix: Gäu
[28.07.16, 10:34:50] Mama: Oh das wär öppis für der paps
[28.07.16, 10:34:52] Felix: Hüt gits en usflug uf dubrovnik
[28.07.16, 10:35:07] Felix: Es het soo gueti meeresfrücht:)
[28.07.16, 10:36:31] Mama: Oh wie fein mmmh (J. )
[28.07.16, 10:36:45] Mama: Gnüssisches?
[28.07.16, 10:37:03] Felix: Jaa isch echt es troimli:)
[28.07.16, 10:37:13] Mama: Cool
‎[28.07.16, 10:38:26] Mama: ‎Video weggelassen
[28.07.16, 10:39:07] Mama: Miss you two
[28.07.16, 10:39:50] Felix: 😘
[28.07.16, 10:40:25] Mama: 😘
[28.07.16, 23:03:48] Papa: Jdnft de swei Jräss😘
[28.07.16, 23:08:47] Holzmano: Danke ihr au!!!
[28.07.16, 23:20:35] Mama: 😘
[28.07.16, 23:50:12] Felix: Naft!
[29.07.16, 21:02:44] Papa: Liebe Leut
Wir fahren in fünf Min hier in Gerra ab. Und sind dännemal wieder dehei... Freued ois
Ly
[29.07.16, 21:31:00] Holzmano: 👍🏼
‎[29.07.16, 21:35:13] Holzmano: ‎Audio weggelassen
‎[29.07.16, 21:37:24] Mama: ‎Audio weggelassen
‎[29.07.16, 22:00:43] Felix: ‎Audio weggelassen
[30.07.16, 01:04:59] Papa: Danke für die guete wünj und juhuii mr sind dehei😜😜😜😜
[30.07.16, 01:05:42] Papa: Flox xum guet hei 
Bis glii
Phüeti Gott!!!
[30.07.16, 01:07:55] Mama: Mir si acho😜
[30.07.16, 01:13:00] Holzmano: Super bin i 30 dihei...
[30.07.16, 01:14:14] Mama: 👍
‎[31.07.16, 10:38:04] Felix: ‎Bild weggelassen
[31.07.16, 12:09:32] Mama: Danke u ganz gueti reid😘
[31.07.16, 12:09:38] Mama: Reis
[31.07.16, 12:25:51] Holzmano: De Jo chunnt au...
[31.07.16, 12:26:11] Holzmano: Ich glaub mir bruched no meh fleisch...
[31.07.16, 12:28:03] Mama: Ke problem mir händ no im gfrürer
[31.07.16, 12:28:25] Holzmano: 👍
[31.07.16, 18:07:13] Felix: Düsseldorf aachoo
[31.07.16, 18:07:18] Felix: 18.55 gahts wiiter
[31.07.16, 20:18:52] Felix: Glandet
[31.07.16, 20:19:21] Papa: Jupppieeee!!!!!
[31.07.16, 20:19:42] Papa: Mälddi wännt weij wgm Abhole!
[31.07.16, 20:39:44] Felix: Annika& ich sind 21.03 zwinti! Wär kuhl wenn schnelll öpper chämt
[31.07.16, 20:43:08] Felix: Het öpper zyyt?
[31.07.16, 20:43:58] Papa: Ix xume
Milchrampe?
[31.07.16, 20:47:57] Papa: Sölemer öppis it pfane jmeisse?
[31.07.16, 20:48:37] Papa: ?
[31.07.16, 20:50:48] Felix: Ou jaa chly fleisch und gmües:)!
‎[01.08.16, 16:26:30] Holzmano: ‎Kontaktkarte ausgelassen
[01.08.16, 22:20:25] Felix: Sind scho uf halbem wäg zude küschte:)!
[01.08.16, 22:51:35] Papa: So schnäll.. Noni müed? Gänd Sorg -
Mir sind gad vom Sässel heixoo, ij voll gmüetli xii
‎[01.08.16, 22:51:48] Papa: ‎Bild weggelassen
[02.08.16, 07:58:01] Felix: Ööh geil!
[02.08.16, 07:58:35] Papa: Hej wobij?
[02.08.16, 07:59:42] Papa: Lauft die Bäne wiesi sött?💪🏽💪🏽💪🏽
[02.08.16, 07:59:50] Felix: 45min vor Bordeaux!
[02.08.16, 08:00:18] Papa: Woow Ihr sind Wildsoi👍
[02.08.16, 08:00:22] Felix: Ja es lauft guet!:)
[02.08.16, 08:00:43] Papa: De bejt!
‎[02.08.16, 08:00:46] Felix: ‎Bild weggelassen
[02.08.16, 08:01:12] Papa: Gits öppis Zmorge?
[02.08.16, 08:01:20] Felix: Scho ghaa:(
[02.08.16, 08:01:24] Felix: :)
[02.08.16, 08:01:33] Felix: Sind scho es wiili uuf;)
[02.08.16, 08:02:17] Papa: Augering kkk
[02.08.16, 08:02:37] Felix: Ja mini auge hend letscht nacht recht glittw
[02.08.16, 08:02:40] Felix: glitte
[02.08.16, 08:02:53] Felix: Gluese is aug überchoo...sehr müehsam
[02.08.16, 08:03:15] Papa: Wägewarum?
[02.08.16, 08:03:31] Felix: Hend grilliert
[02.08.16, 08:04:03] Papa: Hesch ke augetropfe?
[02.08.16, 08:04:16] Felix: Hett mer s aug warsch chly verbrennt...hett mit mim rechte aug e badwanne chönne fülle:)
‎[02.08.16, 08:04:24] Papa: ‎Audio weggelassen
[02.08.16, 08:04:26] Felix: Isch scho fasch widr guet, ke sorg
[02.08.16, 08:05:36] Papa: Süsch muesch ine apothek!!!!! (Müms). Dr papa finds au
[02.08.16, 08:06:06] Felix: Machi wenns nöd wür bessere
[02.08.16, 08:06:16] Felix: Aber sisch wie gseit scho fasch guet:)
[02.08.16, 08:07:48] Papa: Tue eifach nüt riskiere. Tänk a din grosse zäie😜
[02.08.16, 08:08:03] Felix: 😆
[02.08.16, 08:08:10] Felix: Machi:)
[02.08.16, 08:08:24] Papa: Goss Love!!!
[02.08.16, 08:08:40] Felix: goss?
[02.08.16, 08:09:18] Papa: Isches aber nöd ufde Uris odr?
[02.08.16, 08:09:24] Papa: Iris
[02.08.16, 08:09:31] Felix: Nei
[02.08.16, 08:09:55] Papa: Und häts s Lid nöd preixt?
[02.08.16, 08:10:04] Felix: Es beiträchtiget nüt bim luege... Ussert det wos so tränet halt natürli
[02.08.16, 08:10:21] Felix: Nei direkt im aug
[02.08.16, 08:10:31] Papa: Im Wiss?
[02.08.16, 08:10:40] Felix: Ja
[02.08.16, 08:10:54] Papa: Det regenerierts eix guet
[02.08.16, 08:11:28] Papa: Hamal en Metallspah dinn gha und emal en Iissplitter vollgas
[02.08.16, 08:12:25] Papa: Aber imfallt Komijes beibachtij, Veränderige, sofort zeige. 
Vill trinke👍
[02.08.16, 08:14:22] Felix: Maxhi!
[02.08.16, 08:14:35] Papa: 😘
[02.08.16, 08:14:43] Felix: 😘
[02.08.16, 12:03:09] Felix: Sind z moliet-et-maa achoo
[02.08.16, 12:03:32] Felix: Bismorn simmer daa, denn gahts uf figueira da foz
[02.08.16, 12:09:08] Papa: Hei ir sit ja unglaublich!
[02.08.16, 12:09:27] Papa: Wie gats dim oug?
‎[02.08.16, 12:09:30] Felix: ‎Bild weggelassen
[02.08.16, 12:09:32] Papa: 😎
[02.08.16, 12:09:47] Felix: Scho fasch widr guet! Brennt no ganz biz
[02.08.16, 12:10:30] Papa: Ok🌊🏄🏄🏄🎣🎣
[02.08.16, 12:10:49] Papa: Hei gnüssets
[02.08.16, 12:10:57] Felix: Machemer!
‎[02.08.16, 12:50:25] Vera: ‎Bild weggelassen
[02.08.16, 12:50:32] Vera: ab jetzt bitte nur no frä buume
[02.08.16, 13:42:24] Mama: Wow greys anatomy isch en dräck drgäge
[02.08.16, 13:43:00] Holzmano: 👍🏼👍🏼
[02.08.16, 13:47:15] Mama: Frölein eimal Socke wächsle bitte kkk
[02.08.16, 13:47:37] Mama: Machts der Spass im Sturban?
[02.08.16, 16:15:44] Vera: meeega cool
[02.08.16, 16:15:47] Vera: bin ez fertig
[02.08.16, 16:15:54] Vera: und gahn no hurti id stadt
[02.08.16, 16:18:22] Papa: Jaa kuhl - muej dänn vrzele Frau Bume
[02.08.16, 16:18:54] Papa: Irgendöppis mim Tel ij komisch - xa nöd abnäh
[02.08.16, 17:43:10] Felix: Bisch etz gliich Praktikantin Dwött?
[02.08.16, 17:50:50] Vera: joa😊😄🙈
[02.08.16, 17:51:29] Felix: Und de Lohn?
[02.08.16, 18:03:34] Vera: 2500
[02.08.16, 21:43:58] Papa: Hej Goss -
Händers guet?
[02.08.16, 22:13:37] Papa: Maa...
[02.08.16, 22:31:22] Felix: Ja händs guet:)
‎[02.08.16, 22:31:29] Felix: ‎Video weggelassen
[02.08.16, 22:32:20] Vera: 😍😍😍😍
[02.08.16, 22:36:54] Mama: Was lauft da genau?
[02.08.16, 22:37:26] Mama: Guet näscht!😘
[02.08.16, 22:37:36] Felix: Gueti stimmig:)
[02.08.16, 22:37:42] Felix: Dir au!😘
[03.08.16, 11:45:32] Holzmano: Gan go tuän...
[03.08.16, 11:46:32] Papa: 👍
‎[03.08.16, 11:58:19] Mama: ‎Bild weggelassen
[03.08.16, 12:04:23] Holzmano: Geili idee!
[03.08.16, 12:05:12] Papa: Was meinsch?
[03.08.16, 12:07:23] Mama: Mir gö doch an pfäffi hüt z abig?
[03.08.16, 12:07:36] Mama: Bi nume ga schwümme
[03.08.16, 12:09:10] Holzmano: Hey em...shett zue...ganz geil...was mached ihr so?
[04.08.16, 16:11:32] Felix: Sind gsund und munter serschmal vom surfe zruggchoo:)!
[04.08.16, 16:43:48] Mama: Wow ir sit ja unglaublich. Möged ir no?
[04.08.16, 16:44:04] Mama: Chönders scho chli!
[04.08.16, 20:54:01] Felix: Ja eh! Sind scho pros!💪🏽💪🏽
[04.08.16, 21:07:00] Mama: Haha erlich😜
[04.08.16, 21:07:20] Mama: Sind ir nid uf de stümpe?
[05.08.16, 01:48:29] Felix: Moll schochly:)
[05.08.16, 16:02:24] Papa: Lenz Vera
Wäner wänd xönder ufs znaxt 19h öpper iilade, dänn xaufemer na öppis z bicke. Sölemer?
[05.08.16, 16:03:12] Vera: ich han hüt abig denn eifach no abgmacht vermuetlich
[05.08.16, 16:03:43] Papa: Aha usswärts?
[05.08.16, 16:04:52] Vera: jao
[05.08.16, 16:46:01] Papa: Zum Ässe?
[05.08.16, 17:04:07] Vera: hmm also bis am 7ni chönti glaub schono diheime si:) aber chans der konkreter sege ih 15 - 30 min
[05.08.16, 17:05:29] Holzmano: Ah ich glaub sisch gar niemer ume imfall...
[05.08.16, 17:41:17] Papa: Ok
[05.08.16, 17:42:40] Papa: Dänn luegemir zwei eifx für öis. Und Ihr tüend sälbständig...
[05.08.16, 17:42:58] Vera: also ich isse da
[05.08.16, 17:43:41] Papa: Ja aber mir sind erst vorde sibne dehei
[05.08.16, 17:44:05] Papa: S hät teigaffe ime tupper
[05.08.16, 17:44:14] Papa: Ok?
[06.08.16, 10:51:49] Papa: Wie laufts ide Wälle Flaxs?
‎[06.08.16, 10:59:28] Papa: ‎Bild weggelassen
‎[06.08.16, 13:44:49] Papa: ‎Bild weggelassen
[06.08.16, 17:32:32] Felix: Guet!! Bin richtig debii:)!
‎[06.08.16, 17:34:16] Felix: ‎Bild weggelassen
‎[06.08.16, 17:34:18] Felix: ‎Bild weggelassen
[06.08.16, 17:36:53] Vera: feeeeeettt😁😁
‎[06.08.16, 17:41:07] Felix: ‎Bild weggelassen
‎[06.08.16, 17:41:09] Felix: ‎Bild weggelassen
‎[06.08.16, 17:41:16] Felix: ‎Bild weggelassen
‎[06.08.16, 17:41:16] Felix: ‎Bild weggelassen
‎[06.08.16, 17:41:24] Felix: ‎Bild weggelassen
‎[06.08.16, 17:41:28] Felix: ‎Bild weggelassen
‎[06.08.16, 17:41:31] Felix: ‎Bild weggelassen
‎[06.08.16, 17:41:32] Felix: ‎Bild weggelassen
[06.08.16, 18:17:30] Mama: Was luxuriöses isch denn das? Läbet ir mid im womo?
[06.08.16, 18:18:17] Mama: Vergässed dänn de WoMo-Food nöd!!! Und gnüsseds😜😜😜
[06.08.16, 18:35:26] Holzmano: Yess sehr geil!!!
[06.08.16, 18:53:03] Felix: Sind ja zersch no im camp bisam 11.
[06.08.16, 19:49:39] Mama: Ja hani scho gwüsst, aber i ha nid gwüsst , dass z logi deezue ghört. Gseht aber mega toll us. Gnüsets!!!
‎[07.08.16, 20:30:40] Felix: ‎Bild weggelassen
‎[07.08.16, 20:30:45] Felix: ‎Video weggelassen
[07.08.16, 20:47:57] Holzmano: Whoa...
[07.08.16, 21:32:58] Mama: Heiei
[07.08.16, 21:33:22] Mama: Da it was los😜
[07.08.16, 21:35:14] Papa: Cool, du häsch natürli gwüsst wasdi erwartet... Guet gange ohni vrletzti?
[08.08.16, 00:14:00] Felix: Ke verletzti aber de stier hett scho es paar umegrüert
[08.08.16, 12:01:09] Holzmano: Hender scho eppis fürs zmittag in planig? Ich isse suscht ide stadt...
[08.08.16, 12:50:00] Mama: I chume grad hei vom schwümme u mache öppis
[08.08.16, 12:55:56] Holzmano: Ok...han etz eppis gässe...chume aber glaub gliich hei...
[08.08.16, 12:57:24] Papa: Sori has nöxee ... Mea culpa🤔
‎[08.08.16, 14:10:03] Papa: ‎Bild weggelassen
‎[08.08.16, 14:10:06] Papa: ‎Bild weggelassen
[08.08.16, 14:12:47] Felix: Styyla!!!
‎[08.08.16, 14:15:42] Papa: ‎Bild weggelassen
‎[08.08.16, 14:15:58] Papa: ‎Bild weggelassen
‎[08.08.16, 14:16:01] Papa: ‎Bild weggelassen
‎[08.08.16, 14:16:28] Papa: ‎Bild weggelassen
[08.08.16, 14:16:36] Felix: Starch! Di letschte 3👌👌👌
[08.08.16, 22:37:41] Papa: Haj Fiox
Was gedapp? No zwee täg sörfee .. Xajes joxli?
[08.08.16, 22:42:27] Felix: Ja chas nöd mal schlecht!
[08.08.16, 22:42:37] Felix: Hüt hezz 3m welle
[08.08.16, 22:42:39] Felix: Ghaa
[08.08.16, 22:42:51] Felix: kürvli liget scho drin👌👌💪🏽
[08.08.16, 22:48:31] Mama: Wow du tausendsassa. Gisch nid uf bis z chasch?
[08.08.16, 23:45:59] Felix: Sicher:)!
Ghöre scho zu de bessere😎
[08.08.16, 23:48:26] Holzmano: Das jueeeede!!!!!!
‎[08.08.16, 23:48:35] Holzmano: ‎Audio weggelassen
‎[08.08.16, 23:49:21] Felix: ‎Video weggelassen
[08.08.16, 23:49:54] Holzmano: Haha geil...!!!
[09.08.16, 07:54:04] Papa: Voll s Teaching -
[09.08.16, 20:34:45] Holzmano: Ich isse bim seimon...
[09.08.16, 21:36:46] Felix: Was triibeder so?
‎[09.08.16, 21:49:01] Papa: ‎Video weggelassen
‎[09.08.16, 21:49:01] Papa: ‎Video weggelassen
[09.08.16, 21:49:20] Papa: Mr sind am chille mitde kumpls
[09.08.16, 21:50:00] Felix: Geil💪🏽
‎[09.08.16, 21:50:21] Felix: ‎Bild weggelassen
[09.08.16, 21:51:13] Papa: Öh en guete😘😘😘😘
‎[09.08.16, 21:51:45] Felix: ‎Bild weggelassen
[09.08.16, 21:54:07] Papa: Heisst das Surfergruess?
‎[09.08.16, 21:54:58] Felix: ‎Video weggelassen
[09.08.16, 22:00:47] Felix: Javoll:)
[09.08.16, 22:01:20] Papa: Di geeeeilste!
[10.08.16, 08:20:14] Papa: Sori ha gest nödso xöne töggele wili Gest gha ha. Wohi göndr naxm kurs?wänn gats witr mim womo? Ales liebi und bb
[10.08.16, 10:40:33] Felix: Nachm kurs, dh morn mittag, fahremer mal richtig lissabon! Und denn schlafemer det e nacht...
[10.08.16, 10:45:26] Papa: Kuhl!!! Passed uf wgm womo-Chlaue!!
‎[11.08.16, 01:07:08] Felix: ‎Video weggelassen
[11.08.16, 07:21:39] Papa: Das ischja sooo toll! Bisch du dä wo am schluss usepaddlet?
[11.08.16, 07:22:15] Papa: Gueti fahrt dänn hütam nami!👍👍👍
[11.08.16, 09:59:31] Felix: Nei eine vodene so surft! Danke!
[11.08.16, 13:58:12] Papa: Voll? Wele? Dä woso lang im schum sörfet?
[11.08.16, 14:32:42] Felix: Dasch nüüt schumsurfe isch für afänger😉 ich bin am greenwaves rippe😎😜🏄🏽
[11.08.16, 14:33:51] Papa: Wow - tönt guet... Aber wasxöntassi???
[11.08.16, 17:54:09] Holzmano: Wenn denn so znacht?
[11.08.16, 18:23:41] Vera: halb acht
[11.08.16, 18:23:54] Vera: chasch aber au spöter cho luut papa
[11.08.16, 18:27:20] Mama: Hei Felix das gseht ja ächt hammer us🔨🔨🔨🔨🔨
[11.08.16, 18:27:36] Felix: Jäll:)
[11.08.16, 18:27:54] Holzmano: 👍🏼
‎[11.08.16, 18:29:02] Felix: ‎Video weggelassen
[11.08.16, 18:30:20] Felix: Wie hett das hostel z lisboa gheisse womir mal gsii sind?
[11.08.16, 18:30:46] Felix: Poete?
[11.08.16, 18:31:40] Mama: Ja du chiller
‎[11.08.16, 18:32:33] Felix: ‎Bild weggelassen
[11.08.16, 18:33:04] Mama: http://www.lisbonpoetshostel.com/en/
[11.08.16, 18:34:16] Mama: Uuh das stinkt scho fasch
[11.08.16, 18:34:41] Vera: 🔥🔥🔥🔥🔥
[11.08.16, 18:34:53] Vera: hottty flotty
[11.08.16, 18:35:05] Mama: Aber du dert mitem auto ane chunnsch
[11.08.16, 19:25:48] Felix: Kei wlan me ab etz:)!😘
Mir hend kes hostel gfunde
[11.08.16, 19:26:04] Felix: Dh mir pfuused im camper!
[11.08.16, 19:27:30] Holzmano: Hä scho?
‎[13.08.16, 17:33:32] Felix: ‎Bild weggelassen
‎[13.08.16, 17:33:35] Felix: ‎Bild weggelassen
[13.08.16, 17:45:39] Holzmano: Geil
‎[13.08.16, 18:14:37] Vera: ‎Video weggelassen
[13.08.16, 18:43:29] Felix: Mmh!
‎[13.08.16, 18:44:34] Felix: ‎Video weggelassen
[13.08.16, 18:44:42] Papa: Isch aber guet usexo t Friese?
[13.08.16, 18:45:07] Holzmano: Seg am fäse er sell en kafi nehh!!!!
[13.08.16, 18:45:16] Papa: Oh jakkk
[13.08.16, 18:45:46] Papa: So cool wasir maxed😃
‎[13.08.16, 23:13:58] Felix: ‎Bild weggelassen
[13.08.16, 23:30:26] Vera: he mir ( d sara ud ich) sind mitem velo unterwegs
[13.08.16, 23:30:34] Vera: s chönt si dasi ersch so am 1 dihei bin
[13.08.16, 23:30:47] Vera: gib eu aber denn no bscheid wenni definitiv abdüse
[13.08.16, 23:33:14] Mama: Ok gärn
[13.08.16, 23:33:38] Mama: Hei Felix ir händs ja toll😘😘
[13.08.16, 23:40:07] Papa: Hej felix wajdas für e stange?🤔
[13.08.16, 23:43:24] Felix: 😂
[14.08.16, 00:09:03] Holzmano: 😂👍🏻
‎[14.08.16, 13:14:36] Papa: ‎Bild weggelassen
‎[14.08.16, 13:15:17] Papa: ‎Bild weggelassen
‎[14.08.16, 13:15:20] Papa: ‎Bild weggelassen
[14.08.16, 13:17:46] Papa: Flox händer au so jöns wättr?
Hüt gats dix witer gäll...
[14.08.16, 13:18:14] Felix: So geilll!!!
[14.08.16, 13:18:32] Papa: Gartetuschi ij ft😀
[14.08.16, 13:18:33] Felix: Ja hüt gahts witer! Grad no am nudle choche, denn los...
[14.08.16, 13:18:52] Papa: Wüsseder t route jo?
‎[14.08.16, 13:19:00] Felix: ‎Bild weggelassen
[14.08.16, 13:19:05] Felix: Direkte nach Sagres!
[14.08.16, 13:19:11] Papa: Was händr für tämperature?
[14.08.16, 13:19:38] Papa: Djibig... Aber heiss odr?
‎[14.08.16, 13:20:45] Papa: ‎Bild weggelassen
[14.08.16, 13:22:03] Felix: Boaaaa geilo
[14.08.16, 13:22:13] Felix: Mir hend 35 am schatte
[14.08.16, 16:59:56] Mama: 🍺
[14.08.16, 19:09:50] Vera: het öper ahglûte?
[14.08.16, 19:13:58] Papa: Sori Fählalarm👍
‎[15.08.16, 19:02:20] Vera: ‎Bild weggelassen
‎[15.09.16, 15:49:51] Vera: ‎Video weggelassen
[15.09.16, 15:51:34] Felix: Sehr herzig!!!😀
[15.09.16, 16:05:52] Mama: Sooo mega cool, hesch ere wider dr huet ufgsetzt?
[15.09.16, 16:17:23] Vera: ja de chic😊
[15.09.16, 16:19:35] Papa: Sooo geil!
Abr lasdi nöd vrwütje😜
[15.09.16, 20:30:04] Papa: Ga noxi go wooke
[15.09.16, 21:02:23] Holzmano: Dxeei
[15.09.16, 21:07:31] Papa: Wotj aunaxli spaghüls? Bi am wärme
[15.09.16, 21:07:52] Holzmano: Bitzli bin i 10min dihei
[15.09.16, 21:10:17] Papa: Djeei
[16.09.16, 21:20:11] Mama: Grossmueti chunnt nächscht wochenänd zu ü, ab em fritig
[16.09.16, 21:21:21] Papa: Oh cool - willkome
[19.09.16, 12:40:14] Papa: Bi axoo -
Rasselbandi abr vode guete Sorte
Am eis gats witr
Lyall
[19.09.16, 12:41:25] Mama: Wünsch dr vil freud u chraft. 
Zellsch dr morel o zur rasselbande?
[19.09.16, 12:41:54] Papa: Kkk no comment
[19.09.16, 12:42:15] Papa: Nei ij imfall pos!
‎[19.09.16, 12:42:25] Vera: ‎Bild weggelassen
[19.09.16, 12:42:39] Vera: vill spass papa❤
[19.09.16, 12:44:12] Papa: Beidi Fraue händ am Cédric sini Spange zlang dinnephalte i witertrület -

Mrc👍🏿
[19.09.16, 12:45:19] Mama: Yesses
[19.09.16, 12:46:10] Holzmano: Cool papa ! Machs guet und ganz e gueti Ziit!!
[19.09.16, 12:46:32] Papa: 😘
[19.09.16, 20:16:19] Papa: Uff... Bald gits znaxt...es wamslet no voll - und no lang! Ly
[19.09.16, 20:17:27] Holzmano: Haha vill spass...!
[19.09.16, 20:37:49] Mama: Magsch no? Hei warum so spät znach?
[19.09.16, 22:56:46] Papa: Tja - tempi speciali. Jd nfd
‎[20.09.16, 12:20:20] Papa: ‎Bild weggelassen
[20.09.16, 12:54:34] Holzmano: Ohlala...
[20.09.16, 12:55:32] Mama: Wow very active!
[20.09.16, 12:57:27] Felix: Öh geil😊
‎[20.09.16, 16:33:45] Papa: ‎Bild weggelassen
[20.09.16, 16:37:23] Vera: mega cool😊😉
[20.09.16, 16:39:08] Papa: Thx😘
[20.09.16, 17:13:20] Holzmano: Voll...!
‎[22.09.16, 09:53:58] Vera: ‎Bild weggelassen
[22.09.16, 09:56:51] Mama: Cool👍aber wsrum fromm?
[22.09.16, 09:58:11] Vera: kei ahnig???😄
[22.09.16, 09:58:47] Holzmano: Hä...
[22.09.16, 18:50:44] Papa: FFFF .... Das hät amix grisch fromm fröhlich grei gheisse, d Maxime vode Jugendrige. Isch doch cool👍👍👍👍
[22.09.16, 18:51:06] Holzmano: Haha... grisch?
[22.09.16, 18:51:13] Papa: Frisch
Frei
[22.09.16, 23:34:44] Papa: Bis morn Ihr Liebe - und freumi voll uf öi❤❤❤
[23.09.16, 06:37:46] Holzmano: Ly
[23.09.16, 09:51:40] Vera: lyyy
[23.09.16, 10:28:33] Mama: I freue mi o mega❤❤
[23.09.16, 10:28:58] Felix: froi mi au!! :):)
[23.09.16, 12:30:46] Papa: Bi sixer vorde Säxse dehei - bis glii
[23.09.16, 13:50:46] Mama: Söll i di abhole?
[23.09.16, 14:41:01] Papa: Häsch denn Guet Zit? Am halbi foifi?
[23.09.16, 15:19:27] Mama: Ja
‎[23.09.16, 22:09:05] Papa: ‎Video weggelassen
[26.09.16, 15:35:40] Vera: s isch eini gstorbe
[26.09.16, 15:38:40] Holzmano: 😢
[26.09.16, 15:39:55] Papa: Oh -aber nöd dini Lieblings idr?
[26.09.16, 15:40:01] Papa: Odr?
[26.09.16, 15:43:02] Mama: Oje, die wo het müesse iz spital?
[26.09.16, 16:05:00] Vera: ja die
[26.09.16, 16:06:45] Vera: maria moser
‎[29.09.16, 12:32:49] Vera: ‎Bild weggelassen
[29.09.16, 12:33:15] Holzmano: Mahalo ...zvill....
‎[29.09.16, 12:33:37] Vera: ‎Bild weggelassen
[29.09.16, 12:33:53] Vera: bin scho ez nervös🙉
[29.09.16, 12:34:11] Holzmano: Ach das machsch du locker...
[29.09.16, 12:34:43] Felix: Locker Dwött!!😊💪🏽💪🏽
[29.09.16, 12:34:55] Papa: Sowisoo Jrässes
[29.09.16, 12:35:06] Papa: Bijdänn dehei?
[29.09.16, 12:35:26] Vera: wivill ziitverschiebig hets?
[29.09.16, 12:35:31] Holzmano: denn nimmsch efach frei...zellt als Bewerbigsgschbröch
[29.09.16, 12:35:37] Papa: Miteme Glesli Wii🍷🍸
[29.09.16, 12:35:54] Vera: hahah denn nemeds mi grad nöd
[29.09.16, 12:36:04] Papa: Lueg mal naa
Kkk
[29.09.16, 17:02:25] Papa: Bi no im atsgi👍🏽
[29.09.16, 17:02:59] Holzmano: Han Team...chume nid hei...
[29.09.16, 17:08:33] Felix: Chaunöd
